,x1,y1,x2,y2
386,544,532,571.3514066048692,325.6059417951176
2232,680,532,750.334997173014,653.0159128484727
2810,204,152,601.7081167908559,371.523804340512
2763,1224,760,671.6981743033698,276.80952208044005
1970,1360,380,857.7950866944434,533.076630088447
1142,544,760,496.56083896086375,474.3992490291232
558,816,304,653.6534599180641,395.3851602038317
816,1224,380,972.1105959750853,367.0109300453521
459,1224,760,799.6734918804532,282.65157067087875
840,0,532,939.2281939351824,324.58638957846824
737,136,152,891.1328319772374,303.0878367446819
2967,884,684,653.4970906162162,569.2582571764401
66,204,228,507.56111998639426,291.5482895771354
2847,1292,228,626.2005756504032,609.3880748747399
726,816,76,934.6472279346881,323.67633367033545
2664,204,456,385.0000676155714,540.319438085168
1864,1292,0,783.0507233005078,343.43005247286305
1584,612,684,762.5745975170125,329.87099557986335
2389,0,304,676.801506701861,176.78185751410433
2606,544,228,533.2314521326539,304.73945732641664
134,544,456,598.2666185866083,399.75018910871086
2271,476,684,1085.5690115592806,537.5938151917896
1515,204,456,442.67317263446057,201.8104755548227
2049,1020,684,465.4912351879366,541.3448384437779
2907,1088,456,631.3606156950627,335.5082767761103
2435,272,456,547.5998977250624,289.76275385527947
919,1088,760,148.07056254007603,382.4702748625891
782,340,304,882.3649341383307,361.5674467363799
1715,1088,304,764.4186556209606,377.0556371968571
2032,1292,608,893.7884165973792,588.6040443796321
319,272,304,436.2750230526226,387.41580216428497
2404,1020,304,702.9316878539817,318.17661900803273
1923,1020,228,684.1831366044908,407.4098803749505
2258,1020,608,789.0644402295197,449.63369551136066
2736,816,684,616.7372701974946,509.5375079510068
139,884,456,710.4171896207499,395.158273510227
633,204,608,485.3438411162738,361.97090473115713
622,884,532,637.8789254202538,393.4501003079456
1619,272,0,580.5723304320995,463.6481158290494
2793,476,76,499.92876235500944,269.5401584227079
1969,1292,380,900.1145111305395,573.9110518993532
2605,476,228,537.385000058397,302.2439693540023
2644,272,380,494.9722179008768,585.8187348598569
341,340,380,522.1201815840182,435.53050763531974
2281,1156,684,682.6553763539277,444.74021732127926
1385,1360,760,500.53400020953177,297.4117018896875
1893,408,152,522.8621885634402,277.8248531516206
1801,1224,608,868.9960018558832,351.77427750266656
490,476,76,545.4449402378068,355.1719583377842
1747,408,456,694.4520484134136,368.5275213455059
2658,1224,380,566.1999666500151,654.2074829820638
1205,544,152,544.5256770906662,275.7734270657297
2212,748,456,681.1884648140749,584.8124272545854
156,612,532,625.5028022315055,401.290144105581
1197,0,152,763.7281275323949,130.45153905313077
807,612,380,910.8620164450476,369.13203596426683
2554,1292,0,777.7337958936841,229.14233899989244
2302,1156,760,904.6968066607697,526.1843295085359
2137,1360,152,1038.5739130507804,325.4572129147339
990,204,228,530.7465202610424,429.01484214881816
2484,748,608,586.9047131626235,467.9699453197418
123,1224,380,809.9764377087731,367.5616613224745
1701,136,304,594.8480874433208,323.00266139864357
2597,1360,152,693.726028391925,265.5409012154803
1383,1224,760,824.1239757414287,650.0110025331348
2641,68,380,557.9389120245796,502.97805924782733
2673,816,456,514.815386861646,565.5073600647665
2209,544,456,645.8668665683608,637.5561882185959
2714,748,608,621.7122238099,506.89036245156467
2353,408,152,491.46255104686907,137.93356753742228
1608,884,760,769.1444078387117,741.561307388851
249,1224,0,788.6162378998706,252.63405836294078
2628,612,304,570.0615243536254,435.297497268107
2705,136,608,0.7565066701426986,366.64888403924465
2986,748,760,661.6461442788004,335.14848487591803
457,1088,760,794.4573250010412,290.2277384495751
2121,272,152,631.1413085278723,306.4588887565278
1586,748,684,838.9576606367682,335.2825167020633
1902,1020,152,654.3894854793452,374.6259317346967
1296,1020,456,685.9239910528613,329.2484715384528
1846,68,0,594.7914936921634,317.14391498435657
865,272,608,910.7366361056534,395.56177057771947
1233,1020,228,712.5372156516464,463.4353917991955
777,0,304,994.9011685954374,353.0339520725372
2278,952,684,904.4019261548551,492.5579087178885
1275,1020,380,584.799294056033,325.02598143159594
1229,748,228,602.9693422488467,400.9352266950293
52,680,152,587.6478652891033,261.1024271642857
1814,680,684,804.7260041748596,169.86644817037882
13,884,0,759.9902373932896,212.7193015300054
1593,1224,684,1186.6217503864295,232.6184584443124
2419,612,380,609.0058080013396,243.88309097084698
518,952,152,610.738463930606,357.7734870691829
1577,136,684,684.4164181931874,30.792926809528353
177,612,608,641.3951228067676,398.02296950843015
2843,1020,228,579.5676387895655,243.80642970841222
995,544,228,602.3154030279129,411.99942971791006
1900,884,152,666.4904216927357,423.0018976119113
898,1088,684,960.2721017849658,355.23452679607203
1896,612,152,610.1624179241567,352.90595744902635
1212,1020,152,767.3426828947736,321.80311353325783
2550,1020,0,688.7142720529205,261.7842434764809
704,748,0,912.1876904883552,293.44689506111854
1669,816,152,771.8431112935027,343.18080627423205
