,x1,y1,x2,y2
958,884,76,837.7029,54.476185
949,272,76,307.99564,56.406136
69,408,228,292.92444,198.31186
169,68,608,535.31793,576.3415
2754,612,760,561.49567,705.7747
2928,1088,532,1164.6863,461.96277
361,272,456,326.2129,399.77332
2458,408,532,354.73865,571.7897
1141,476,760,374.131,714.94745
800,136,380,181.48833,438.55484
1274,952,380,744.8349,361.5167
1018,680,304,517.589,239.29263
2602,272,228,232.69914,163.38852
869,544,608,574.46423,632.9523
718,272,76,305.21576,73.416595
2303,1224,760,221.82956,748.7976
1679,68,228,566.10724,180.01303
1316,952,532,1124.8306,593.1132
1493,136,380,278.57416,318.36676
2005,884,532,857.6857,607.77814
1227,612,228,570.8958,257.59158
100,1088,304,764.6241,318.21838
33,816,76,635.7977,77.50557
2611,884,228,758.281,309.1713
2348,68,152,529.8666,143.11858
2230,544,532,327.61755,509.2834
488,340,76,260.77176,65.20435
2158,1360,228,1276.866,220.84273
2463,748,532,470.74323,551.07306
1130,1156,684,1227.5538,686.8106
1267,476,380,445.52356,375.4441
2040,408,684,394.22354,500.40012
2601,204,228,390.76688,145.6825
992,340,228,353.93155,270.26456
1459,680,228,576.8807,383.77264
1044,1020,380,984.2786,396.1631
2390,68,304,603.9229,212.28734
1388,136,0,61.218773,178.4329
544,1292,228,1236.8491,239.57954
1125,816,684,900.9915,621.96716
1963,884,380,624.37885,404.85278
2277,884,684,775.6888,694.024
160,884,532,712.70404,564.3278
2106,680,76,680.7704,40.580437
1178,136,76,489.7515,-14.237234
480,1224,0,1237.1279,131.8438
2946,884,608,753.9979,577.482
595,476,456,455.47122,467.81528
1895,544,152,506.52173,175.01505
241,680,0,671.78125,-30.43535
2742,1224,684,1202.5533,809.2965
2749,272,760,261.9802,702.3873
129,204,456,283.1735,426.18948
1173,1224,0,1297.151,32.604713
1576,68,684,134.7306,501.43127
907,272,760,217.88794,668.9419
296,136,228,325.4935,289.77112
1293,816,456,607.445,437.73383
97,884,304,660.4969,281.53598
2762,1156,760,1132.504,763.402
1882,1088,76,1007.4531,179.30412
2309,272,0,223.72147,477.07544
1556,136,608,344.52444,593.94666
168,0,608,785.91394,584.0496
2141,204,228,274.5589,256.27963
2335,612,76,396.9594,64.924446
2519,272,760,235.82764,688.1366
2599,68,228,733.71344,164.8897
1712,884,304,589.8097,454.41498
366,612,456,596.55884,496.5492
1804,0,684,1134.1748,689.38055
2254,748,608,748.6032,607.6747
812,952,380,902.7322,385.83438
1548,1020,532,1054.1245,546.3328
1331,544,608,422.12802,680.052
2119,136,152,301.3167,199.76556
2299,952,760,570.1222,749.9692
103,1292,304,1224.497,295.3984
979,884,152,1016.5822,155.84111
2794,544,76,343.55334,100.21304
464,136,0,47.54427,3.527353
1870,272,76,366.50665,111.436356
20,1360,0,1264.7773,81.831764
1639,204,76,321.18658,185.28317
1087,1088,532,1138.7303,546.8106
1114,68,684,-13.352031,744.31903
1530,1224,456,965.42664,314.78885
2709,408,608,347.63474,695.33307
624,1020,532,430.02203,520.87085
692,1360,760,1020.2312,313.7794
2544,612,0,997.0805,161.48482
46,272,152,316.11002,170.24734
1835,680,760,577.0203,683.3943
266,952,76,801.22626,88.26117
768,816,228,658.1949,199.94725
1395,612,0,351.15155,263.4051
1749,544,456,476.91647,572.2403
1254,1020,304,698.4965,306.14246
831,816,456,762.778,506.2345
1046,1156,380,1178.4586,439.25653
1936,476,304,573.59753,411.15976
2627,544,304,656.65765,448.27118
2061,408,760,607.8503,342.0466
654,204,684,186.46764,587.54175
758,136,228,468.1088,241.1139
116,748,380,715.23425,411.62222
1648,816,76,564.91284,121.34774
2522,476,760,270.68228,740.92865
2840,816,228,872.6001,185.93016
1985,952,456,674.4689,454.68066
689,1156,760,1138.8123,710.5275
